Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
27.2,6,117.3,30.188314212094603,0.2,0.0,0.0,0.3,1.0,0.0,0.0,10,0,2,0,0.3,0.2,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,856,60,150,85.6,38.178527996768025,85.6,0.0331254005432128,10,1457.6
30.0,6,98.3,30.214475531578465,0.0,0.2,0.1,0.3,0.9,0.0,0.0,9,2,0,1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,846,60,150,84.6,32.042333109670885,84.6,0.0341261148452758,10,1026.7111111111112
19.6,6,85.1,121.40476610870064,0.0,0.0,0.0,0.5,0.7,0.0,0.0,7,0,0,0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.7,0.1,0.0,0.2,0.0,0.0,0.8,0.8,1004,60,214,100.4,55.88718795732863,100.4,0.0189146995544433,10,3123.3777777777777
26.0,6,117.6,31.979237113354905,0.0,0.3,0.0,0.1,0.5,0.0,0.0,5,3,0,0,0.1,0.4,0.0,0.0,0.0,0.1,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,1146,60,309,114.6,84.60260043284723,114.6,0.0316337823867797,10,7157.6
16.8,17,130.0,108.03824596109465,0.0,0.0,0.0,0.2,0.4,0.0,0.0,4,0,0,0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.1,0.0,0.0,0.9,0.9,4542,60,3534,454.2,1084.478963476112,454.2,0.0108309984207153,10,1176094.6222222226
24.8,6,140.7,90.9744448445044,0.1,0.0,0.1,0.5,0.7,0.0,0.0,7,0,1,1,0.0,0.6,0.2,0.0,0.0,0.1,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,1410,66,251,141.0,65.00256405199208,141.0,0.0125828027725219,10,4225.333333333333
32.0,6,64.0,96.20559071318635,0.1,0.0,0.0,0.6,1.0,0.0,0.0,10,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1068,66,150,106.8,37.46642941799142,106.8,0.0115593194961547,10,1403.7333333333331
26.8,6,93.6,55.47382774733595,0.1,0.2,0.1,0.2,0.7,0.0,0.0,7,2,1,1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.8,0.1,0.0,0.1,0.0,0.0,0.9,0.9,964,60,230,96.4,55.39193683801522,96.4,0.0182543992996215,10,3068.266666666668
12.0,1,101.7,14.796309727745056,0.0,0.0,0.0,0.2,0.3,0.0,0.0,3,0,0,0,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.3,0.3,0.0,0.0,0.4,0.0,1.0,1.0,1268,60,230,126.8,58.80438381239579,126.8,0.0683073997497558,10,3457.955555555556
20.0,6,83.1,247.1832347186535,0.0,0.0,0.0,0.3,0.5,0.0,0.0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,988,60,230,98.8,56.51509139650714,98.8,0.0046466827392578,10,3193.9555555555557
22.4,6,64.0,158.72003875000945,0.0,0.0,0.0,0.4,0.6,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,908,60,150,90.8,38.74933691188936,90.8,0.010148000717163,10,1501.511111111111
11.6,17,100.0,80.9754967449978,0.0,0.0,0.0,0.3,0.3,0.0,0.0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,1.0,1.0,789,60,123,78.9,30.43189116699782,78.9,0.012984013557434,10,926.1
22.4,6,80.8,222.82629946024056,0.0,0.0,0.0,0.6,0.7,0.0,0.0,7,0,0,0,0.0,0.1,0.0,0.0,0.0,0.4,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,1429,60,519,142.9,137.23252772818356,142.9,0.0061539888381958,10,18832.76666666667
20.0,6,136.3,232.7363123345744,0.0,0.0,0.0,0.5,0.6,0.0,0.0,6,0,0,0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1263,60,230,126.3,59.6490663054428,126.3,0.0047151088714599,10,3558.0111111111114
22.4,6,80.3,168.19736293349587,0.0,0.0,0.0,0.3,0.7,0.0,0.0,7,0,0,0,0.0,0.2,0.0,0.0,0.0,0.3,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,829,60,150,82.9,33.824547299261816,82.9,0.0065013885498046,10,1144.1
