Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
28.8,6,64.0,741.2919531291423,0.0,0.0,0.0,0.0,0.9,0.0,0.0,9,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.1,0.0,1.0,1.0,13512,66,1494,1351.2,451.57324987204464,1351.2,0.0013489961624145,10,203918.40000000008
29.6,6,56.8,91.82047049654769,0.0,0.0,0.0,0.2,0.9,0.0,0.0,9,0,0,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,4797,66,1494,479.7,644.811436692068,479.7,0.010914921760559,10,415781.7888888888
30.4,6,59.2,148.16987784112987,0.0,0.1,0.0,0.1,0.8,0.0,0.0,8,1,0,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,901,66,288,90.1,69.65063611418859,90.1,0.0070714950561523,10,4851.211111111111
24.0,6,84.4,103.39125354657568,0.1,0.1,0.0,0.4,0.7,0.0,0.0,7,1,1,0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.2,0.0,0.0,0.8,0.8,1537,60,667,153.7,187.23428579663977,153.7,0.00967218875885,10,35056.677777777775
27.2,6,77.0,92.18128991705603,0.1,0.0,0.0,0.2,0.8,0.0,0.0,8,0,1,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1195,66,307,119.5,87.02905006694922,119.5,0.0121232986450195,10,7574.055555555556
32.0,6,114.0,89.99918461584677,0.0,0.0,0.0,0.2,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6748,66,3168,674.8,1260.9936822469278,674.8,0.0120495080947875,10,1590105.0666666662
27.2,6,118.2,43.53656536550834,0.0,0.0,0.0,0.4,0.8,0.0,0.0,8,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1329,66,230,132.9,65.59208963146563,132.9,0.0232016086578369,10,4302.322222222221
26.4,6,126.8,71.64202762647044,0.0,0.0,0.0,0.7,0.8,0.0,0.0,8,0,0,0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.1,0.0,0.0,0.9,0.9,4431,60,2483,443.1,759.0923600663566,443.1,0.0146959781646728,10,576221.2111111112
24.0,6,60.2,242.18353571572925,0.1,0.0,0.0,0.3,0.7,0.0,0.0,7,0,1,0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.1,0.0,0.0,0.9,0.9,1418,60,722,141.8,204.3726443968903,141.8,0.0047284126281738,10,41768.17777777778
19.2,6,108.4,138.79048589694378,0.1,0.1,0.0,0.2,0.4,0.0,0.0,4,1,1,0,0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.2,0.0,0.0,0.8,0.8,1354,60,517,135.4,143.5728231788856,135.4,0.0075746059417724,10,20613.15555555556
