Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
28.0,6,100.9,36.44447920060824,0.0,0.1,0.0,0.3,0.8,0.0,0.0,8,1,0,0,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1757,60,792,175.7,229.4505756511992,175.7,0.027438998222351,10,52647.56666666667
22.4,6,80.4,192.38867585270532,0.2,0.1,0.0,0.2,0.5,0.0,0.0,5,1,2,0,0.4,0.1,0.2,0.0,0.0,0.0,0.0,0.6,0.3,0.0,0.1,0.0,0.0,0.9,0.9,1294,60,441,129.4,121.38204150532316,129.4,0.0051979064941406,10,14733.6
32.8,6,75.5,44.554750356390926,0.0,0.1,0.0,0.2,0.9,0.0,0.0,9,1,0,0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,990,66,317,99.0,77.53995385892647,99.0,0.0229925870895385,10,6012.444444444444
24.8,6,121.7,42.815360147648185,0.2,0.0,0.0,0.2,0.7,0.0,0.0,7,0,2,0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,1118,60,230,111.8,69.17578253181448,111.8,0.0233562231063842,10,4785.288888888888
14.8,6,144.6,28.17616552465404,0.0,0.0,0.0,0.1,0.4,0.0,0.0,4,0,0,0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.2,0.0,0.0,0.8,0.8,1312,60,230,131.2,79.80086326461499,131.2,0.0374874830245971,10,6368.177777777779
14.4,6,150.4,28.991214791774667,0.0,0.1,0.0,0.2,0.4,0.0,0.0,4,1,0,0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.2,0.0,0.0,0.8,0.8,1250,60,230,125.0,76.4373381709925,125.0,0.0392675161361694,10,5842.666666666667
20.8,6,69.0,65.70127978195147,0.0,0.2,0.0,0.2,0.4,0.0,0.0,4,2,0,0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.5,0.4,0.2,0.0,0.1,0.0,1.0,1.0,1508,66,344,150.8,109.7601425331112,150.8,0.0165268898010253,10,12047.288888888888
27.2,6,66.4,77.04693203130884,0.2,0.0,0.0,0.3,0.8,0.0,0.0,8,0,2,0,0.7,0.1,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1345,66,441,134.5,125.00422215091598,134.5,0.0131685018539428,10,15626.055555555557
24.0,6,60.7,67.31382112255395,0.0,0.2,0.0,0.1,0.5,0.0,0.0,5,2,0,0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,903,60,317,90.3,79.83879591610417,90.3,0.0150842905044555,10,6374.233333333333
15.2,17,82.6,119.4458161396794,0.0,0.0,0.0,0.2,0.3,0.0,0.0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,1.0,1.0,794,60,214,79.4,47.80330067637125,79.4,0.0096867084503173,10,2285.155555555556
20.0,6,59.7,108.10229024160168,0.2,0.0,0.0,0.1,0.5,0.0,0.0,5,0,2,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,637,60,73,63.7,4.423422506008969,63.7,0.0118270874023437,10,19.566666666666677
15.2,17,68.4,82.39068899474537,0.0,0.0,0.0,0.0,0.3,0.0,0.0,3,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,1.0,1.0,618,60,66,61.8,2.898275349237888,61.8,0.0124037027359008,10,8.400000000000002
